date,product,customer,region,quantity,unit_price,discount,revenue,month
2023-03-15,Tablet,CUST-6535,West,1,613.63,0.0,736.356,2023-03
2023-03-16,Tablet,CUST-5931,West,5,420.42,0.0,2522.52,2023-03
2023-03-17,Tablet,CUST-4510,West,3,413.63,0.0,1489.0679999999998,2023-03
2023-03-18,Tablet,CUST-1202,South,2,458.74,0.0,733.984,2023-03
2023-03-19,Laptop,CUST-5218,North,2,154.71,0.27885874327434773,178.5084221248411,2023-03
2023-03-20,Laptop,CUST-9958,West,4,272.72,0.24918582233631872,982.857804155708,2023-03
2023-03-21,Laptop,CUST-5389,South,5,705.03,0.28950807319995375,3005.508738911019,2023-03
2023-03-22,Tablet,CUST-3327,West,5,746.75,0.0,4480.5,2023-03
2023-03-23,Phone,CUST-9004,West,4,462.64,0.0,2220.672,2023-03
2023-03-24,Laptop,CUST-3931,West,3,586.48,0.28150213704631133,1516.9846559942855,2023-03
2023-03-25,Laptop,CUST-8777,North,3,546.69,0.054369919849698044,1240.7196204416848,2023-03
2023-03-26,Laptop,CUST-1197,South,1,961.83,0.0,769.464,2023-03
2023-03-27,Laptop,CUST-8125,West,5,667.94,0.22233619478701772,3116.5965723237564,2023-03
2023-03-28,Tablet,CUST-2930,South,3,480.81,0.17234193395397357,1432.6065890481239,2023-03
2023-03-29,Phone,CUST-7287,North,6,356.67,0.0,2568.024,2023-03
2023-03-30,Tablet,CUST-9800,South,3,259.03,0.0,932.5079999999998,2023-03
2023-03-31,Phone,CUST-5282,West,1,530.52,0.0,636.6239999999999,2023-03
